Date,Close,Open,High,Low,Volume,Percentage_change
17-Sep-21,527.25,529,530.5,521.75,-,-0.42%
16-Sep-21,529.5,533.5,537.5,528,118.91K,-0.75%
15-Sep-21,533.5,520.75,534.5,520.5,152.83K,6.06%
14-Sep-21,503,497,502.25,497,0.08K,1.26%
13-Sep-21,496.75,503.5,503.5,493,0.31K,-4.06%
12-Sep-21,517.75,517.75,517.75,517.75,-,2.98%
10-Sep-21,502.75,499,505,487.75,0.37K,1.36%
9-Sep-21,496,498.5,500,494.5,0.16K,-0.45%
8-Sep-21,498.25,497.5,504,495,0.45K,0.50%
7-Sep-21,495.75,509,509,496,0.73K,-5.44%
6-Sep-21,524.25,524.25,524.25,524.25,-,3.20%
3-Sep-21,508,516.75,518.25,506.75,0.97K,-1.60%
2-Sep-21,516.25,515.5,521,510,1.32K,0.15%
1-Sep-21,515.5,534,535,514.25,5.19K,-3.46%
31-Aug-21,534,540,542,524,8.14K,-1.16%
30-Aug-21,540.25,557.25,560,531.5,73.57K,-2.33%
29-Aug-21,553.12,553.12,553.12,553.12,-,-0.87%
27-Aug-21,558,553,558.75,548.75,107.36K,0.95%
26-Aug-21,552.75,550,555.75,548,73.86K,0.27%
25-Aug-21,551.25,544.5,555,541.25,80.08K,1.24%
24-Aug-21,544.5,539.5,546.5,537,82.65K,1.21%
23-Aug-21,538,536,544.25,531.5,50.27K,0.54%
22-Aug-21,535.12,535.25,535.25,535.12,-,-0.67%
20-Aug-21,538.75,550.25,554.25,533.25,83.00K,-2.05%
19-Aug-21,550,560.5,560.5,546.75,90.49K,-2.09%
18-Aug-21,561.75,559,563.5,556.5,64.05K,0.63%
17-Aug-21,558.25,567.5,569.5,556.25,67.74K,-1.15%
16-Aug-21,564.75,568.25,572,561,60.69K,-1.20%
15-Aug-21,571.62,572.88,572.88,571.62,-,0.59%
13-Aug-21,568.25,566.75,575,559,97.47K,0.22%
12-Aug-21,567,554.75,589.5,548.5,247.37K,1.93%
11-Aug-21,556.25,548.75,558.5,548.25,184.26K,1.27%
10-Aug-21,549.25,548.5,550.25,544,143.63K,-0.18%
9-Aug-21,550.25,554,556,547,144.34K,-0.90%
8-Aug-21,555.25,555.25,555.25,555.25,-,0.05%
6-Aug-21,555,555,560.5,548.75,142.76K,-0.13%
5-Aug-21,555.75,546.75,560.75,545.75,92.97K,1.83%
4-Aug-21,545.75,550.5,555.25,540.25,70.05K,-0.86%
3-Aug-21,550.5,555.75,563.5,546.75,95.21K,-1.48%
2-Aug-21,558.75,547.25,559.25,540.25,83.84K,2.36%
1-Aug-21,545.88,545.88,545.88,545.88,-,-0.20%
30-Jul-21,547,557,557.75,546.5,65.20K,-1.97%
29-Jul-21,558,549.25,559,546.5,71.56K,1.59%
28-Jul-21,549.25,554,554.25,545,62.38K,0.09%
27-Jul-21,548.75,554,564,544.25,67.24K,-0.18%
26-Jul-21,549.75,549.25,551.25,536.75,72.95K,0.46%
23-Jul-21,547.25,564.75,569.25,544.5,81.45K,-3.06%
22-Jul-21,564.5,571.5,571.75,555,81.02K,-1.27%
21-Jul-21,571.75,572,579,567.75,79.00K,0.00%
20-Jul-21,571.75,558,576.25,557.25,77.00K,2.83%
19-Jul-21,556,570,571.5,548.75,67.34K,-1.66%
18-Jul-21,565.38,565.38,565.38,565.38,-,1.69%
16-Jul-21,556,564,570.5,553.25,83.02K,-1.46%
15-Jul-21,564.25,568.5,571.5,561,69.36K,-17.39%
14-Jul-21,683,682,687,682,0.03K,0.89%
13-Jul-21,677,669.5,750.5,664,0.33K,1.16%
12-Jul-21,669.25,629.75,666,619.5,0.43K,29.95%
11-Jul-21,515,515,515,515,-,-18.22%
9-Jul-21,629.75,640.75,643.5,620,0.53K,-1.29%
8-Jul-21,638,657.5,659.5,636,0.50K,-2.22%
7-Jul-21,652.5,656,666,645,0.59K,-0.53%
6-Jul-21,656,685.25,685.25,645.5,1.71K,-5.92%
2-Jul-21,697.25,720,727,683,4.75K,-3.13%
1-Jul-21,719.75,719.75,744.5,712.25,4.71K,-0.03%
30-Jun-21,720,694,743.25,675.5,18.23K,3.67%
29-Jun-21,694.5,678.25,700,668,58.73K,2.81%
28-Jun-21,675.5,637.75,676.5,636.75,83.83K,30.00%
27-Jun-21,519.62,519.62,519.62,519.62,-,-18.36%
25-Jun-21,636.5,653.25,659.5,634,123.02K,-2.56%
24-Jun-21,653.25,664,664,650.75,143.75K,-1.66%
23-Jun-21,664.25,660.5,666.25,659.25,127.09K,0.68%
22-Jun-21,659.75,662.75,668,653.75,145.93K,0.08%
21-Jun-21,659.25,640.25,665,636,127.44K,3.17%
20-Jun-21,639,639,639,639,-,-2.48%
18-Jun-21,655.25,631,663.5,629.5,184.52K,3.52%
17-Jun-21,633,672.75,674.25,633,192.03K,-5.94%
16-Jun-21,673,670,687.75,663.75,169.91K,0.82%
15-Jun-21,667.5,662.75,668.5,646.75,176.45K,1.25%
14-Jun-21,659.25,675.75,676.25,653,159.57K,-2.44%
13-Jun-21,675.75,675.75,675.75,675.75,-,-1.28%
11-Jun-21,684.5,699.5,703,673,233.95K,-2.07%
10-Jun-21,699,691,717.5,687.75,256.32K,1.19%
9-Jun-21,690.75,682.5,695.5,669.5,214.26K,1.58%
8-Jun-21,680,682,698,677.5,224.00K,0.11%
7-Jun-21,679.25,695,706.25,674.5,254.04K,-2.83%
6-Jun-21,699,699,699,699,-,2.38%
4-Jun-21,682.75,663.5,685.75,660.75,142.30K,3.13%
3-Jun-21,662,675.5,685,652.75,166.36K,-1.93%
2-Jun-21,675,683.25,694.25,666,163.86K,-2.00%
1-Jun-21,688.75,666,696.75,660.75,163.97K,3.28%
31-May-21,666.88,666.88,666.88,666.88,-,1.54%
28-May-21,656.75,666.25,672.75,651.25,150.33K,-1.17%
27-May-21,664.5,626,664.5,621.25,160.61K,6.41%
26-May-21,624.5,621,629,602.75,182.61K,0.69%
25-May-21,620.25,660,661.75,617.25,211.65K,-5.63%
24-May-21,657.25,652.25,658.5,645.5,106.87K,1.13%
23-May-21,649.88,649.88,649.88,649.88,-,-1.46%
21-May-21,659.5,664.75,666.75,653.5,109.62K,-0.75%
20-May-21,664.5,662.25,671.25,656.5,119.73K,0.95%
19-May-21,658.25,660.5,663,637,136.69K,0.00%
18-May-21,658.25,653.5,669.5,652.5,161.91K,0.88%
17-May-21,652.5,642.25,656.75,633,185.35K,2.11%
16-May-21,639,639,639,639,-,-6.72%
14-May-21,685,717.25,718.75,685,0.03K,-4.73%
13-May-21,719,757.5,769,717.5,0.31K,-5.08%
12-May-21,757.5,764.25,769.25,750,0.33K,-0.26%
11-May-21,759.5,747.25,771.5,747.25,0.40K,1.54%
10-May-21,748,766.75,770.5,744.75,0.81K,2.80%
9-May-21,727.62,727.62,727.62,727.62,-,-5.84%
7-May-21,772.75,763.25,775,755,0.68K,1.74%
