Week Ending Date,Report Date,Date,Weighted Price,Weighted Price adjusted to 38% moisture,Sales,Moisture Content
08/19/2017,08/23/2017,07/22,1.5238,1.4489,"9,233,624",34.79
08/19/2017,08/23/2017,07/29,1.5636,1.4863,"10,948,266",34.77
08/19/2017,08/23/2017,08/05,1.5891,1.5113,"11,520,370",34.81
08/19/2017,08/23/2017,08/12,1.6360,1.5526,"10,741,788",34.67
08/19/2017,08/23/2017,08/19,1.6543,1.5738,"11,131,479",34.83
08/12/2017,08/16/2017,08/12,1.6360,1.5526,"10,752,293",34.67
08/12/2017,08/16/2017,08/05,1.5891,1.5113,"11,520,371",34.81
08/12/2017,08/16/2017,07/29,1.5636,1.4863,"10,948,267",34.77
08/12/2017,08/16/2017,07/22,1.5238,1.4489,"9,233,624",34.80
08/12/2017,08/16/2017,07/15,1.4880,1.4164,"13,441,457",34.87
08/05/2017,08/09/2017,07/08,1.4911,1.4204,"10,796,511",34.91
08/05/2017,08/09/2017,07/15,1.4880,1.4164,"13,441,457",34.87
08/05/2017,08/09/2017,07/22,1.5238,1.4489,"9,233,624",34.80
08/05/2017,08/09/2017,07/29,1.5636,1.4863,"10,948,267",34.77
08/05/2017,08/09/2017,08/05,1.5902,1.5124,"11,361,822",34.81
07/29/2017,08/02/2017,07/29,1.5636,1.4863,"10,935,962",34.77
07/29/2017,08/02/2017,07/22,1.5238,1.4489,"9,233,624",34.80
07/29/2017,08/02/2017,07/15,1.4880,1.4164,"13,441,457",34.87
07/29/2017,08/02/2017,07/08,1.4911,1.4204,"10,796,511",34.91
07/29/2017,08/02/2017,07/01,1.5125,1.4381,"12,210,435",34.79
07/22/2017,07/26/2017,06/24,1.5710,1.4943,"11,220,932",34.82
07/22/2017,07/26/2017,07/01,1.5125,1.4380,"12,210,435",34.79
07/22/2017,07/26/2017,07/08,1.4911,1.4204,"10,789,616",34.91
07/22/2017,07/26/2017,07/15,1.4887,1.4173,"12,831,031",34.88
07/22/2017,07/26/2017,07/22,1.5243,1.4493,"9,110,354",34.79
07/15/2017,07/19/2017,07/15,1.4893,1.4178,"12,765,578",34.88
07/15/2017,07/19/2017,07/08,1.4911,1.4204,"10,789,616",34.91
07/15/2017,07/19/2017,07/01,1.5125,1.4380,"12,210,435",34.79
07/15/2017,07/19/2017,06/24,1.5710,1.4943,"11,220,932",34.82
07/15/2017,07/19/2017,06/17,1.5987,1.5227,"11,656,724",34.90
07/08/2017,07/12/2017,06/10,1.6330,1.5547,"12,832,612",34.88
07/08/2017,07/12/2017,06/17,1.5987,1.5227,"11,656,724",34.90
07/08/2017,07/12/2017,06/24,1.5710,1.4943,"11,220,932",34.82
07/08/2017,07/12/2017,07/01,1.5125,1.4380,"12,210,435",34.79
07/08/2017,07/12/2017,07/08,1.4918,1.4211,"10,467,959",34.91
07/01/2017,07/06/2017,07/01,1.5147,1.4400,"11,798,391",34.78
07/01/2017,07/06/2017,06/24,1.5710,1.4943,"11,220,932",34.82
07/01/2017,07/06/2017,06/17,1.5987,1.5227,"11,656,724",34.90
07/01/2017,07/06/2017,06/10,1.6330,1.5547,"12,832,612",34.88
07/01/2017,07/06/2017,06/03,1.6128,1.5371,"11,961,197",34.95
06/24/2017,06/28/2017,05/27,1.6006,1.5278,"11,846,233",35.05
06/24/2017,06/28/2017,06/03,1.6128,1.5371,"11,961,197",34.95
06/24/2017,06/28/2017,06/10,1.6330,1.5547,"12,832,612",34.88
06/24/2017,06/28/2017,06/17,1.5987,1.5227,"11,656,724",34.90
06/24/2017,06/28/2017,06/24,1.5724,1.4957,"11,094,954",34.82
06/17/2017,06/21/2017,06/17,1.5994,1.5234,"11,574,235",34.91
06/17/2017,06/21/2017,06/10,1.6330,1.5547,"12,832,612",34.88
06/17/2017,06/21/2017,06/03,1.6128,1.5371,"11,961,197",34.95
06/17/2017,06/21/2017,05/27,1.6006,1.5278,"11,846,233",35.05
06/17/2017,06/21/2017,05/20,1.5576,1.4876,"13,085,102",35.08
06/10/2017,06/14/2017,05/13,1.5377,1.4675,"12,612,881",35.03
06/10/2017,06/14/2017,05/20,1.5576,1.4876,"13,085,102",35.08
06/10/2017,06/14/2017,05/27,1.6006,1.5278,"11,846,233",35.05
06/10/2017,06/14/2017,06/03,1.6180,1.5424,"12,166,909",34.96
06/10/2017,06/14/2017,06/10,1.6330,1.5547,"12,832,612",34.88
06/03/2017,06/07/2017,06/03,1.6180,1.5424,"12,166,909",34.96
06/03/2017,06/07/2017,05/27,1.6006,1.5278,"11,846,233",35.05
06/03/2017,06/07/2017,05/20,1.5576,1.4876,"13,085,102",35.08
06/03/2017,06/07/2017,05/13,1.5377,1.4675,"12,612,881",35.03
06/03/2017,06/07/2017,05/06,1.5307,1.4573,"11,237,229",34.88
05/27/2017,06/01/2017,04/29,1.5407,1.4647,"13,777,558",34.78
05/27/2017,06/01/2017,05/06,1.5307,1.4573,"11,237,229",34.88
05/27/2017,06/01/2017,05/13,1.5377,1.4675,"12,612,881",35.03
05/27/2017,06/01/2017,05/20,1.5576,1.4876,"13,085,102",35.08
05/27/2017,06/01/2017,05/27,1.6006,1.5278,"11,846,233",35.05
05/20/2017,05/24/2017,05/20,1.5576,1.4876,"13,085,102",35.08
05/20/2017,05/24/2017,05/13,1.5377,1.4675,"12,612,881",35.03
05/20/2017,05/24/2017,05/06,1.5307,1.4573,"11,237,229",34.88
05/20/2017,05/24/2017,04/29,1.5404,1.4646,"13,869,969",34.79
05/20/2017,05/24/2017,04/22,1.5499,1.4740,"13,871,996",34.81
05/13/2017,05/17/2017,04/15,1.5514,1.4747,"14,282,017",34.78
05/13/2017,05/17/2017,04/22,1.5499,1.4740,"13,871,996",34.81
05/13/2017,05/17/2017,04/29,1.5404,1.4646,"13,869,969",34.79
05/13/2017,05/17/2017,05/06,1.5307,1.4573,"11,237,229",34.88
05/13/2017,05/17/2017,05/13,1.5377,1.4675,"12,612,881",35.03
05/06/2017,05/10/2017,05/06,1.5307,1.4573,"11,237,229",34.88
05/06/2017,05/10/2017,04/29,1.5404,1.4646,"13,869,969",34.79
05/06/2017,05/10/2017,04/22,1.5499,1.4740,"13,871,996",34.81
05/06/2017,05/10/2017,04/15,1.5514,1.4747,"14,282,017",34.78
05/06/2017,05/10/2017,04/08,1.5247,1.4521,"14,091,699",34.90
04/29/2017,05/03/2017,04/01,1.5151,1.4422,"12,701,901",34.87
04/29/2017,05/03/2017,04/08,1.5247,1.4521,"14,091,699",34.90
04/29/2017,05/03/2017,04/15,1.5514,1.4747,"14,282,017",34.78
04/29/2017,05/03/2017,04/22,1.5499,1.4740,"13,871,996",34.81
04/29/2017,05/03/2017,04/29,1.5404,1.4646,"13,869,969",34.79
04/22/2017,04/26/2017,04/22,1.5501,1.4743,"13,750,905",34.81
04/22/2017,04/26/2017,04/15,1.5513,1.4747,"14,198,870",34.78
04/22/2017,04/26/2017,04/08,1.5247,1.4521,"14,091,699",34.90
04/22/2017,04/26/2017,04/01,1.5151,1.4422,"12,701,901",34.87
04/22/2017,04/26/2017,03/25,1.5427,1.4730,"13,745,912",35.07
04/15/2017,04/19/2017,03/18,1.6039,1.5246,"15,125,416",34.78
04/15/2017,04/19/2017,03/25,1.5427,1.4730,"13,745,912",35.07
04/15/2017,04/19/2017,04/01,1.5151,1.4422,"12,701,901",34.87
04/15/2017,04/19/2017,04/08,1.5247,1.4521,"14,091,699",34.90
